Gene,Genome,Gene_Count,Path,Activity,Trophic_level,Substrate,Product,Enzymatic_Activity,iso_index
GH1,Bifidobacterium_adolescentis_L2,1,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Glucosidases, Beta-Galactosidases, 6-Phospho-Beta-Glucosidases, 6-Phospho-Beta-Galactosidases",25
GH1,Blautia_schinkii_DSM_10518_T506,7,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Glucosidases, Beta-Galactosidases, 6-Phospho-Beta-Glucosidases, 6-Phospho-Beta-Galactosidases",21
GH1,Butyrivibrio_fibrosolvens_CF3,2,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Glucosidases, Beta-Galactosidases, 6-Phospho-Beta-Glucosidases, 6-Phospho-Beta-Galactosidases",34
GH1,Butyrivibrio_hungatei_DSMZ_10295,1,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Glucosidases, Beta-Galactosidases, 6-Phospho-Beta-Glucosidases, 6-Phospho-Beta-Galactosidases",35
GH1,Clostridium_aerotolerans_DSM_5434_T546,11,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Glucosidases, Beta-Galactosidases, 6-Phospho-Beta-Glucosidases, 6-Phospho-Beta-Galactosidases",45
GH1,Clostridium_butyricum_5001,11,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Glucosidases, Beta-Galactosidases, 6-Phospho-Beta-Glucosidases, 6-Phospho-Beta-Galactosidases",54
GH1,Enterococcus_faecalis_V583_DSM_8629,7,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Glucosidases, Beta-Galactosidases, 6-Phospho-Beta-Glucosidases, 6-Phospho-Beta-Galactosidases",1
GH1,Faecalibacterium_prausnitzii_DSM_17677,2,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Glucosidases, Beta-Galactosidases, 6-Phospho-Beta-Glucosidases, 6-Phospho-Beta-Galactosidases",62
GH1,Kandleria_vitulina_DSM_20405_T513,10,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Glucosidases, Beta-Galactosidases, 6-Phospho-Beta-Glucosidases, 6-Phospho-Beta-Galactosidases",65
GH1,Lactobacillus_rhamnosus_GG_whole_genome_sequence,7,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Glucosidases, Beta-Galactosidases, 6-Phospho-Beta-Glucosidases, 6-Phospho-Beta-Galactosidases",68
GH1,Lactobacillus_ruminis_DSM_20403_NBRC_102161_strain_DSM_20403,4,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Glucosidases, Beta-Galactosidases, 6-Phospho-Beta-Glucosidases, 6-Phospho-Beta-Galactosidases",69
GH1,Lactococcus_lactis_subsp._lactis_HUN043,7,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Glucosidases, Beta-Galactosidases, 6-Phospho-Beta-Glucosidases, 6-Phospho-Beta-Galactosidases",202
GH1,Megamonas_sp_Calf98_2,1,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Glucosidases, Beta-Galactosidases, 6-Phospho-Beta-Glucosidases, 6-Phospho-Beta-Galactosidases",74
GH1,Megasphaera_elsdenii_DSM_20460,1,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Glucosidases, Beta-Galactosidases, 6-Phospho-Beta-Glucosidases, 6-Phospho-Beta-Galactosidases",83
GH1,Peptostreptococcus_anaerobius_strain_C,1,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Glucosidases, Beta-Galactosidases, 6-Phospho-Beta-Glucosidases, 6-Phospho-Beta-Galactosidases",84
GH1,Propionibacterium_sp._MB3007_HUN140,1,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Glucosidases, Beta-Galactosidases, 6-Phospho-Beta-Glucosidases, 6-Phospho-Beta-Galactosidases",88
GH1,Proteiniclasticum_ruminis_DSM_24773,1,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Glucosidases, Beta-Galactosidases, 6-Phospho-Beta-Glucosidases, 6-Phospho-Beta-Galactosidases",87
GH1,Pseudobutyrivibrio_ruminis_AD2017,1,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Glucosidases, Beta-Galactosidases, 6-Phospho-Beta-Glucosidases, 6-Phospho-Beta-Galactosidases",205
GH1,Pseudobutyrivibrio_sp_LB2011_T375,2,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Glucosidases, Beta-Galactosidases, 6-Phospho-Beta-Glucosidases, 6-Phospho-Beta-Galactosidases",90
